10 15
0 0 P
0 1 0
0 2 E
0 3 0
0 4 0
0 5 p
0 6 0
0 7 e
0 8 0
0 9 1
0 10 1
0 11 1
0 12 0
0 13 p
0 14 1
1 0 0
1 1 1
1 2 1
1 3 1
1 4 0
1 5 1
1 6 0
1 7 1
1 8 0
1 9 0
1 10 0
1 11 P
1 12 G
1 13 1
1 14 0
2 0 e
2 1 1
2 2 0
2 3 E
2 4 0
2 5 p
2 6 0
2 7 1
2 8 1
2 9 0
2 10 1
2 11 0
2 12 1
2 13 1
2 14 0
3 0 0
3 1 0
3 2 K
3 3 1
3 4 K
3 5 1
3 6 1
3 7 0
3 8 1
3 9 0
3 10 e
3 11 0
3 12 0
3 13 1
3 14 K
4 0 1
4 1 0
4 2 p
4 3 1
4 4 0
4 5 0
4 6 1
4 7 E
4 8 1
4 9 0
4 10 1
4 11 p
4 12 0
4 13 0
4 14 0
5 0 1
5 1 1
5 2 0
5 3 1
5 4 1
5 5 P
5 6 0
5 7 0
5 8 p
5 9 0
5 10 1
5 11 0
5 12 1
5 13 P
5 14 1
6 0 0
6 1 1
6 2 0
6 3 0
6 4 0
6 5 0
6 6 1
6 7 1
6 8 1
6 9 0
6 10 0
6 11 E
6 12 p
6 13 1
6 14 e
7 0 E
7 1 0
7 2 1
7 3 E
7 4 1
7 5 1
7 6 0
7 7 0
7 8 0
7 9 P
7 10 1
7 11 0
7 12 1
7 13 C
7 14 0
8 0 1
8 1 0
8 2 0
8 3 0
8 4 0
8 5 p
8 6 0
8 7 1
8 8 0
8 9 1
8 10 P
8 11 0
8 12 K
8 13 1
8 14 0
9 0 0
9 1 E
9 2 1
9 3 1
9 4 1
9 5 1
9 6 K
9 7 0
9 8 E
9 9 1
9 10 p
9 11 0
9 12 0
9 13 E
9 14 0
